NOME_FORNECEDOR,CNPJ_FORNECEDOR,EMAIL_FORNECEDOR,TELEFONE_FORNECEDOR,NUMERO_NF,DATA_EMISSAO,VALOR_NET,VALOR_TRIBUTO,VALOR_TOTAL,NOME_ITEM,QTD_ITEM,CONDICAO_PAGAMENTO,CEP,NUM_ENDERECO,COMPLEMENTO,TIPO_ENDERECO,DATA_PROCESSAMENTO
Direcional,16614075000100,twillman2g@howstuffworks.com,612-34-0166,7292216,2023-07-01,180000,9000,189000,Escalade ESV,1,30/60 dias,41301050,349,LOTE 68,fornecedor,2023-11-13
Dmfinanceira,91669747000192,twillman2g@howstuffworks.com,612-34-0166,1721112,2023-07-01,180000,9000,189000,Escalade ESV,1,30/60 dias,41301050,349,LOTE 68,fornecedor,2023-11-13
Dohler,84683408000103,wglendinningk@europa.eu,835-83-3066,6725816,2023-07-01,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-11-13
Dotz SA,18174270000184,dbreakwell2d@unesco.org,286-44-7158,4047651,2023-07-01,70000,3000,73000,,1,,12605180,170,LOTE 74,fornecedor,2023-11-13
Dtcom Direct,3303999000136,myelden1u@usatoday.com,763-57-5758,6302145,2023-07-01,180000,9000,,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-11-13
Ecorodovias,4149454000180,ccaudrey27@hostgator.com,722-35-9907,8663077,2023-07-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605070,1223,,fornecedor,2023-11-13
Elektro,2328280000197,myelden1u@usatoday.com,763-57-5758,5143492,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-11-13
Eletrobras,1180000126,ccaudrey27@hostgator.com,722-35-9907,4862846,2023-07-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605070,1223,,fornecedor,2023-11-13
Eletromidia,9347516000181,ahancock25@wsj.com,214-28-9058,7347699,2023-07-01,110000,5000,115000,Cooper,1,A vista,12605130,99,,fornecedor,2023-11-13
Eletropar,1104937000170,oschroeder2k@ocn.ne.jp,27-997826109,6585245,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60 dias,12605140,445,LOTE 57,fornecedor,2023-11-13
Emae,2302101000142,ablazewicz2q@drupal.org,329-18-0427,7185140,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60 dias,12605150,133,,fornecedor,2023-11-13
Embpar S/A,42331462000131,bogissfh.ss@ss.com,742-63-3038,1639321,2023-07-01,150000,7000,157000,Tacoma,1,Entrada/30 dias,12605160,693,LOTE 80,fornecedor,2023-11-13
Embraer,7689002000189,wglendinningk@europa.eu,835-83-3066,9150692,2023-07-01,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-11-13
Enauta Part,11669021000110,dbreakwell2d@unesco.org,286-44-7158,9375275,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-11-13
Energias BR,3983431000103,lallans1x@state.gov,778-53-4836,4576383,2023-07-01,180000,9000,189000,Escalade ESV,1,A vista,41300760,655,,fornecedor,2023-11-13
Energisa,864214000106,bhallad2@parallels.com,682-90-7397,8038785,2023-07-01,150000,7000,157000,Tacoma,1,A vista,41300770,45,LOTE 59,fornecedor,2023-11-13
Energisa Mt,3467321000199,mmundow1s@amazon.de,533-64-8495,5853312,2023-07-01,300000,15000,315000,Boxster,1,Entrada/30/60/90 dias,41300780,221,LOTE 02,fornecedor,2023-11-13
Eneva,4423567000121,myelden1u@usatoday.com,763-57-5758,6299298,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-11-13
Engie Brasil,2474103000119,ccaudrey27@hostgator.com,722-35-9907,6822613,2023-07-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605070,1223,,fornecedor,2023-11-13
Enjoei,16922038000151,myelden1u@usatoday.com,763-57-5758,5358109,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-11-13
Eqtl Maranhao,6272793000184,ccaudrey27@hostgator.com,722-35-9907,7480340,2023-07-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605070,1223,,fornecedor,2023-11-13
Eqtl Para,4895728000180,dbreakwell2d@unesco.org,286-44-7158,7311128,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-11-13
Equatorial,3220438000173,rcockman14@twitpic.com,313-34-5254,4884454,2023-07-01,300000,15000,315000,Boxster,1,Entrada/30/60/90 dias,12605210,453,LOTE 41,fornecedor,2023-11-13
Espacolaser,26659061000159,lallans1x@state.gov,778-53-4836,3865995,2023-07-01,180000,9000,189000,Escalade ESV,1,A vista,41300760,655,,fornecedor,2023-11-13
Estapar,60537263000166,bhallad2@parallels.com,682-90-7397,4598826,2023-07-01,150000,7000,157000,Tacoma,1,A vista,41300770,45,LOTE 59,fornecedor,2023-11-13
Estrela,61082004000150,mmundow1s@amazon.de,533-64-8495,8005113,2023-07-01,300000,15000,315000,Boxster,1,Entrada/30/60/90 dias,41300780,221,LOTE 02,fornecedor,2023-11-13
Eternit,61092037000181,myelden1u@usatoday.com,763-57-5758,4088238,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-11-13
Eucatex,56643018000166,ccaudrey27@hostgator.com,722-35-9907,6096104,2023-07-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605070,1223,,fornecedor,2023-11-13
Eurofarma SA,61190096000192,hhaddington17@cbc.ca,201-38-1891,6718140,2023-07-01,150000,7000,157000,Tacoma,1,Entrada/30/60/90 dias,41301055,1248,,fornecedor,2023-11-13
Even,43470988000165,ahancock25@wsj.com,214-28-9058,8041961,2023-07-01,110000,5000,115000,Cooper,1,A vista,12605130,99,,fornecedor,2023-11-13
Excelsior,95426862000197,oschroeder2k@ocn.ne.jp,27-97826109,1123305,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60 dias,12605140,445,LOTE 57,fornecedor,2023-11-13
Eztec,8312229000173,ablazewicz2q@drupal.org,329-18-0427,7709747,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60 dias,12605150,133,,fornecedor,2023-11-13
Fer Heringer,22266175000188,bogissfh.ss@ss.com,742-63-3038,6984996,2023-07-01,150000,7000,157000,Tacoma,1,Entrada/30 dias,12605160,693,LOTE 80,fornecedor,2023-11-13
Ferbasa,15141799000103,wglendinningk@europa.eu,835-83-3066,7169715,2023-07-01,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-11-13
Fleury,60840055000131,dbreakwell2d@unesco.org,286-44-7158,8571524,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-11-13
Fleury,60840055000131,dbreakwell2d@unesco.org,286-44-7158,8571525,2023-07-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605180,170,LOTE 74,fornecedor,2023-11-13
Fleury,60840055000131,dbreakwell2d@unesco.org,286-44-7158,8571525,2023-07-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605180,170,LOTE 74,fornecedor,2023-11-13
